,ticker,open,close,Adj Close,low,high,volume,Date
6706913,CRK,207.75,216.600006103516,214.204940795898,207.399993896484,216.600006103516,70000,2010-01-04
6706933,CRK,215.600006103516,219.100006103516,216.677307128906,215.300003051758,219.300003051758,49700,2010-01-05
6706953,CRK,218.399993896484,218.75,216.33117675781202,217.300003051758,221.149993896484,70700,2010-01-06
6706973,CRK,217.300003051758,218.5,216.083938598633,213.550003051758,219.100006103516,59000,2010-01-07
6706993,CRK,217.449996948242,220.0,217.567352294922,215.600006103516,220.149993896484,37800,2010-01-08
6707013,CRK,221.800003051758,210.850006103516,208.51856994628898,209.25,222.600006103516,107600,2010-01-11
6707033,CRK,208.600006103516,207.449996948242,205.15612792968798,205.800003051758,209.449996948242,91500,2010-01-12
6707053,CRK,206.800003051758,205.949996948242,203.672698974609,202.649993896484,209.399993896484,174900,2010-01-13
6707073,CRK,205.199996948242,203.75,201.49705505371102,202.300003051758,207.949996948242,173800,2010-01-14
6707093,CRK,202.800003051758,201.75,199.519149780273,198.850006103516,203.75,128300,2010-01-15
6707113,CRK,202.399993896484,206.0,203.72216796875,200.399993896484,206.149993896484,86700,2010-01-19
6707133,CRK,203.5,207.899993896484,205.601135253906,201.850006103516,208.350006103516,133900,2010-01-20
6707153,CRK,206.600006103516,205.699996948242,203.42546081543,205.699996948242,211.899993896484,178300,2010-01-21
6707173,CRK,204.300003051758,202.5,200.26086425781202,201.300003051758,207.149993896484,156200,2010-01-22
6707193,CRK,203.649993896484,206.300003051758,204.018844604492,203.649993896484,207.899993896484,129700,2010-01-25
6707213,CRK,202.949996948242,202.949996948242,200.70588684082,200.699996948242,206.75,86700,2010-01-26
6707233,CRK,201.850006103516,196.850006103516,194.67333984375,194.100006103516,202.899993896484,143900,2010-01-27
6707253,CRK,198.050003051758,196.649993896484,194.475540161133,193.350006103516,198.25,131700,2010-01-28
6707273,CRK,198.350006103516,194.949996948242,192.794342041016,193.899993896484,203.550003051758,253200,2010-01-29
6707293,CRK,198.100006103516,202.899993896484,200.656433105469,196.199996948242,203.25,170300,2010-02-01
6707313,CRK,203.75,204.449996948242,202.189300537109,203.449996948242,206.699996948242,219900,2010-02-02
6707333,CRK,203.75,198.5,196.305084228516,198.25,203.75,163200,2010-02-03
6707353,CRK,195.0,186.699996948242,184.63557434082,184.649993896484,195.350006103516,202500,2010-02-04
6707373,CRK,186.5,185.399993896484,183.34992980957,180.0,187.0,274400,2010-02-05
6707393,CRK,185.949996948242,186.600006103516,184.536682128906,182.550003051758,187.949996948242,199100,2010-02-08
6707413,CRK,190.899993896484,184.149993896484,182.11375427246102,181.550003051758,191.199996948242,502500,2010-02-09
6707433,CRK,182.699996948242,181.949996948242,179.93811035156202,179.699996948242,183.75,238800,2010-02-10
6707453,CRK,182.149993896484,182.949996948242,180.927032470703,180.649993896484,184.850006103516,280300,2010-02-11
6707473,CRK,179.75,181.0,178.998596191406,178.649993896484,182.699996948242,332300,2010-02-12
6707493,CRK,183.899993896484,186.649993896484,184.586120605469,182.949996948242,187.649993896484,356100,2010-02-16
6707513,CRK,188.5,188.5,186.415679931641,185.399993896484,189.25,161100,2010-02-17
6707531,CRK,188.449996948242,187.449996948242,185.377258300781,185.399993896484,189.5,106700,2010-02-18
6707549,CRK,186.699996948242,188.050003051758,185.970626831055,186.399993896484,189.0,104000,2010-02-19
6707567,CRK,188.350006103516,184.199996948242,182.163192749023,182.050003051758,189.75,173700,2010-02-22
6707585,CRK,182.199996948242,176.949996948242,174.993377685547,176.25,182.850006103516,260600,2010-02-23
6707603,CRK,176.5,174.399993896484,172.471572875977,172.699996948242,178.899993896484,256300,2010-02-24
6707622,CRK,171.550003051758,173.649993896484,171.729873657227,169.149993896484,173.800003051758,224600,2010-02-25
6707640,CRK,173.399993896484,172.600006103516,170.691482543945,169.75,175.0,153200,2010-02-26
6707659,CRK,172.949996948242,175.699996948242,173.757186889648,172.800003051758,175.850006103516,194900,2010-03-01
6707680,CRK,176.699996948242,178.649993896484,176.67457580566398,176.199996948242,179.5,152500,2010-03-02
6707700,CRK,179.850006103516,177.050003051758,175.09226989746102,176.899993896484,180.199996948242,288500,2010-03-03
6707720,CRK,177.399993896484,168.850006103516,166.98294067382798,168.399993896484,177.399993896484,215500,2010-03-04
6707740,CRK,170.399993896484,169.199996948242,167.32907104492202,166.149993896484,171.899993896484,248500,2010-03-05
6707760,CRK,168.5,165.25,163.422744750977,164.550003051758,170.0,236600,2010-03-08
6707780,CRK,163.649993896484,164.5,162.68103027343798,163.5,165.850006103516,263000,2010-03-09
6707800,CRK,164.899993896484,162.550003051758,160.75260925293,162.100006103516,165.100006103516,410500,2010-03-10
6707820,CRK,162.149993896484,165.649993896484,163.81832885742202,161.649993896484,165.949996948242,354200,2010-03-11
6707840,CRK,166.850006103516,169.050003051758,167.180740356445,166.199996948242,169.050003051758,300200,2010-03-12
6707860,CRK,167.699996948242,165.0,163.17550659179702,161.949996948242,168.0,258700,2010-03-15
6707880,CRK,165.199996948242,166.300003051758,164.46115112304702,163.600006103516,166.300003051758,185900,2010-03-16
6707900,CRK,166.399993896484,169.300003051758,167.427963256836,165.550003051758,169.399993896484,209100,2010-03-17
6707920,CRK,168.449996948242,168.25,166.389572143555,168.0,174.899993896484,537500,2010-03-18
6707940,CRK,161.800003051758,161.800003051758,160.010879516602,160.100006103516,168.399993896484,227200,2010-03-19
6707961,CRK,160.449996948242,160.550003051758,158.77473449707,157.300003051758,160.550003051758,168100,2010-03-22
6707981,CRK,161.0,161.550003051758,159.763671875,160.100006103516,163.199996948242,186800,2010-03-23
6708001,CRK,160.0,158.800003051758,157.04406738281202,158.25,163.0,165600,2010-03-24
6708021,CRK,160.5,150.449996948242,148.786392211914,150.0,160.550003051758,381300,2010-03-25
6708041,CRK,150.5,149.75,148.094146728516,148.149993896484,151.149993896484,214700,2010-03-26
6708061,CRK,152.100006103516,156.050003051758,154.32449340820298,150.649993896484,158.449996948242,319800,2010-03-29
6708081,CRK,155.949996948242,156.800003051758,155.06619262695298,153.449996948242,157.399993896484,142600,2010-03-30
6708101,CRK,156.350006103516,159.0,157.241851806641,156.199996948242,160.399993896484,200400,2010-03-31
6708121,CRK,163.199996948242,169.0,167.131271362305,163.050003051758,171.050003051758,376100,2010-04-01
6708141,CRK,170.199996948242,177.0,175.04280090332,170.199996948242,177.850006103516,322400,2010-04-05
