ticker,RMSE,R2,MAPE
AMSC,0.271627184,0.959706897,3.523524143
AMSF,1.163927877,0.909425097,1.380592789
AMSWA,0.246373879,0.984005121,1.516843282
AMT,1.750231963,0.984835105,0.979817382
AMTD,0.989074294,0.98469265,1.442246458
AMTX,0.145476938,0.90912522,5.856636389
AMWD,3.015229675,0.966733273,1.930116506
AMX,0.302026021,0.980472004,1.449028808
AMZN,23.03143846,0.995372315,1.2400006
AN,1.068987304,0.951354409,1.67826608
ANAT,1.420816593,0.924580905,0.90902422
ANCB,0.336728557,0.948480904,0.876359124
ANCX,0.444490004,0.877707543,1.21365587
ANDE,0.809573892,0.921615521,1.649264303
ANDV,1.987031139,0.99153187,1.431999436
ANDX,0.908221472,0.881347097,1.543626173
ANET,10.03183438,0.827410549,2.719293541
ANF,0.733798764,0.986260151,3.111852183
ANFI,0.224863241,0.975209295,3.214529215
ANGI,0.445589984,0.962926349,2.193348742
ANGO,0.419373361,0.955650213,1.52969797
ANH,0.058065861,0.974506876,0.904332585
ANIK,1.626464936,0.946031047,1.880248693
ANIP,1.675415072,0.956163554,1.966645537
ANSS,2.245956237,0.993038571,1.095946834
ANTH,0.655147483,0.882719751,8.425769129
ANTM,3.208336794,0.991273353,1.13510003
ANW,0.392547547,0.986811972,5.640534756
ANY,0.147171102,0.984311177,6.983177654
AOBC,0.486505544,0.989056934,2.109787616
AOD,0.073102575,0.990009779,0.640649587
AOI,0.769725991,0.966585158,3.31131448
AON,1.563830241,0.982296969,0.8575169
AOS,0.813931719,0.979351448,1.061989885
AOSL,0.513459243,0.933124095,2.034669729
AP,0.552866967,0.957426913,3.221443745
APA,1.170257143,0.971455515,2.050113238
APAM,0.635013028,0.950633631,1.539433192
APB,0.181591745,0.988523586,0.948680263
APC,1.330796496,0.982074902,1.735997948
APD,1.839389682,0.976672511,0.879688377
APDN,0.115895902,0.919244353,4.294599719
APEI,1.057199129,0.985359543,2.309314741
APEN,0.496839538,0.957367209,5.068526015
APF,0.15880992,0.98945088,0.675128557
APH,0.967841093,0.988453306,0.844760163
APLE,0.183180824,0.932108959,0.818017586
APO,0.553054228,0.9786932,1.476359447
APOG,1.221656586,0.940909029,1.70870986
APPF,1.875641515,0.977208314,2.258194554
APPS,0.065618608,0.974986941,3.188213357
APRI,0.183085306,0.944495974,6.640709586
APTO,0.172757284,0.924706319,4.536564881
APTS,0.328735126,0.979861224,1.548946051
APTV,1.735755997,0.9675131,1.483492432
APU,0.487945416,0.872409878,0.917091211
APVO,0.253894445,0.849108957,4.160712996
APWC,0.092933985,0.736258016,2.601828169
AQMS,0.219769453,0.738791484,5.509588606
AQN,0.13129927,0.969898193,1.053744877
AQXP,1.021091732,0.940466079,6.171029779
AR,0.494153133,0.762592993,2.060297396
ARA,0.680842983,0.930489553,2.960819332
ARAY,0.16672608,0.893996412,2.651319091
ARC,0.156788486,0.974377947,3.239630846
ARCB,1.219455113,0.977800373,2.539300767
ARCC,0.126735237,0.972165292,0.593748828
ARCH,2.681692107,0.859908917,2.35529456
ARCI,0.070121662,0.855185237,4.052059996
ARCO,0.254053543,0.947077809,2.2192667
ARCT,0.381520766,0.926376063,3.483902823
ARCW,0.092000133,0.738640049,3.174813538
ARDC,0.109041547,0.904897199,0.521378974
ARDM,0.237956709,0.962061223,5.690724084
ARDX,0.275008096,0.931550366,3.894681296
ARE,1.55012845,0.954857138,0.977902745
ARES,0.498623375,0.922709667,1.655225925
AREX,0.130365094,0.896951511,3.455772179
ARI,0.14919158,0.983527711,0.656397933
ARII,0.858198262,0.9338138,1.710566033
ARKR,0.511224011,0.892713604,1.634545458
ARL,0.555072258,0.983624641,3.398545977
ARLP,0.43412586,0.895641232,1.750059624
ARLZ,0.145498704,0.986871765,7.462931694
ARMK,0.653867449,0.904479046,1.17701929
ARNA,1.370952562,0.986212808,3.232421382
ARNC,0.643834067,0.964857306,1.860974736
AROC,0.403395878,0.928977442,2.724155125
AROW,0.592041622,0.953118639,1.35363453
ARQL,0.183773356,0.98529753,4.084376965
ARR,0.285493025,0.975709408,0.936615531
ARRS,0.575858762,0.879815816,1.493962321
ARRY,0.527850084,0.975226456,3.153722698
ARTNA,0.807805922,0.930138099,1.734311458
ARTW,0.13650947,0.890045983,3.400402216
ARTX,0.146085841,0.828873007,2.721883494
ARW,1.151047221,0.899440665,1.123774199
ARWR,0.4180177,0.990781477,4.728598931
ASA,0.19634689,0.952687294,1.312377172
ASB,0.415969048,0.937608396,1.27215468
ASC,0.2123503,0.864559802,2.109684683
ASCMA,0.471421075,0.991759288,3.830122509
ASFI,0.162067879,0.897612225,2.79922161
ASG,0.079437962,0.9924392,0.99181213
ASGN,1.307568982,0.992821773,1.399437732
ASH,1.042682756,0.98426407,1.10301113
ASMB,1.630444881,0.979047125,2.903058215
ASML,3.67021296,0.988449006,1.565295797
ASNA,0.180924038,0.983305623,4.138063445
ASND,1.768963055,0.970108954,2.245300759
ASPN,0.118477096,0.845059513,1.825751453
ASPS,1.503276976,0.885305005,2.799739564
ASPU,0.339952018,0.748970896,3.213376627
ASR,3.89393056,0.959964076,1.701879801
ASRV,0.061906072,0.910269134,1.240337253
ASRVP,0.47944883,0.924461807,1.299600277
ASTC,0.38258233,0.955392118,4.875041223
ASTE,1.399970732,0.947101529,1.73678609
ASUR,0.567972282,0.936319966,3.034160859
ASX,0.14487445,0.945809685,1.533590286
ASYS,0.395354141,0.977021331,3.355348927
AT,0.058868673,0.884321353,1.930916899
ATAI,0.239591002,0.928162823,3.169399075
ATAX,0.076692529,0.974749589,1.040011696
ATEC,0.158957021,0.955338783,3.583054043
ATEN,0.177111213,0.924074089,1.756090703
ATGE,0.956410981,0.981708682,1.593023185
ATHM,2.661313911,0.97864403,2.511103756
ATHN,4.364097699,0.922538257,2.194659905
ATHX,0.087035762,0.937113114,3.335028203
ATI,0.741491655,0.970806399,2.433322678
ATKR,0.671392794,0.928058897,1.877883602
ATLO,0.468870408,0.919759088,1.280758436
ATNI,1.778065568,0.955687605,1.977061037
ATO,0.887109811,0.976039936,0.827178687
ATOS,0.972569971,0.735577985,8.286819315
ATR,1.080965751,0.98204674,0.854264776
ATRA,2.052038782,0.963334235,4.200594872
ATRC,0.611224156,0.974348349,1.997997987
ATRI,12.28751888,0.966465099,1.495177026
ATRO,1.004291266,0.961523174,1.942912059
ATRS,0.133057986,0.916422645,3.184357901
ATSG,0.560897432,0.96734793,1.876667805
ATTO,0.241059175,0.969039368,2.28886902
ATTU,0.336051824,0.985983391,2.389474957
ATU,0.568544686,0.895729017,1.597638938
ATV,0.852655091,0.969949233,4.338256426
ATVI,1.356231129,0.986126845,1.586336572
AU,0.30213425,0.940646382,2.323762571
AUDC,0.159374164,0.97046588,1.674025718
AUO,0.093939041,0.92054332,1.882638338
AUPH,0.184894671,0.684711992,2.61781721
AUTO,0.366436724,0.990511825,2.975344777
AUY,0.098892977,0.866799791,2.670075259
AVA,0.632975706,0.988142728,0.66093686
AVAL,0.128025937,0.851517535,1.184715397
AVAV,1.574148481,0.989192719,2.069840286
AVB,1.895246944,0.956740562,0.850146972
AVD,0.519170951,0.94638415,1.905006352
AVDL,0.286463257,0.967819104,2.55994381
AVEO,0.142277744,0.981455285,4.394037223
AVGO,5.248596968,0.955899195,1.582527541
AVGR,0.32953064,0.986294898,6.785846781
AVH,0.171497988,0.955483021,1.771441365
AVHI,0.526776685,0.91774029,1.935852743
AVID,0.184778684,0.886164632,2.485187705
AVK,0.126524174,0.968586306,0.619930757
AVNW,0.605186911,0.870239035,2.522998883
AVP,0.139455632,0.987263445,2.765913119
AVT,0.660593176,0.957984268,1.197221156
AVX,0.320097295,0.943333756,1.382034879
AVXL,0.213926916,0.838567903,4.632306721
AVY,1.531259069,0.989634758,1.035440574
AWF,0.068554184,0.957242608,0.431240525
AWI,0.950914597,0.988311964,1.310411688
AWK,0.957295953,0.971727548,0.900852206
AWP,0.065376832,0.988132921,0.863865152
AWR,0.80930021,0.98002383,1.244027038
AWRE,0.119637294,0.961699389,1.695956202
AXAS,0.089078942,0.94832591,3.172726542
AXDX,0.850416565,0.912916763,2.617170551
AXE,2.17114774,0.897987521,1.861415336
AXGN,1.114860267,0.992999339,2.543008919
AXL,0.456286537,0.930108068,2.118596178
AXON,0.48102378,0.641160453,9.005696982
AXP,1.347173831,0.981606586,1.008996105
AXR,0.147267071,0.879784065,1.524716572
AXS,0.903624237,0.970763906,1.099863688
AXSM,0.122643684,0.900893415,3.219655857
AXTA,0.766221307,0.582046747,1.423587485
AXTI,0.323087561,0.931152517,3.328756096
AY,0.259987986,0.913945599,1.000381215
AYI,5.16522995,0.97521435,1.902668781
