,Unnamed: 0,adj close,close,date,high,low,open,volume
0,0,133.8999939,133.8999939,1/4/2010,136.6100006,133.1399994,136.25,7599900
1,1,134.6900024,134.6900024,1/5/2010,135.4799957,131.8099976,133.4299927,8851900
2,2,132.25,132.25,1/6/2010,134.7299957,131.6499939,134.6000061,7178800
3,3,130,130,1/7/2010,132.3200073,128.8000031,132.0099945,11030200
4,4,133.5200043,133.5200043,1/8/2010,133.6799927,129.0299988,130.5599976,9830500
5,5,130.3099976,130.3099976,1/11/2010,132.8000031,129.2100067,132.6199951,8779400
6,6,127.3499985,127.3499985,1/12/2010,129.8200073,126.5500031,128.9900055,9096300
7,7,129.1100006,129.1100006,1/13/2010,129.7100067,125.75,127.9000015,10723200
8,8,127.3499985,127.3499985,1/14/2010,130.3800049,126.4000015,129.1399994,9774900
9,9,127.1399994,127.1399994,1/15/2010,129.6499939,127.0599976,129.1799927,15376500
10,10,127.6100006,127.6100006,1/19/2010,128,124.3300018,126.3099976,8892600
11,11,125.7799988,125.7799988,1/20/2010,129.1999969,125.0800018,127.1299973,9074700
12,12,126.6200027,126.6200027,1/21/2010,128.1499939,125,127.2600021,9970600
13,13,121.4300003,121.4300003,1/22/2010,127.6699982,120.7600021,125.5999985,11568900
14,14,120.3099976,120.3099976,1/25/2010,122.2799988,118.1200027,122.0999985,12023900
15,15,119.4800034,119.4800034,1/26/2010,122.9800034,119.0599976,120.5599976,9559000
16,16,122.75,122.75,1/27/2010,123.3300018,118.8000031,121.0299988,14765300
17,17,126.0299988,126.0299988,1/28/2010,127.1999969,122.8000031,124.4300003,27293100
18,18,125.4100037,125.4100037,1/29/2010,131.8500061,124.1399994,129.7700043,29471300
19,19,118.8700027,118.8700027,2/1/2010,124.8600006,113.8199997,123.1800003,37774400
20,20,118.1200027,118.1200027,2/2/2010,118.9800034,114.4000015,118.7900009,23079700
21,21,119.0999985,119.0999985,2/3/2010,119.6100006,116.5599976,117.1200027,12405900
22,22,115.9400024,115.9400024,2/4/2010,120.3300018,115.7399979,118.6399994,12784000
23,23,117.3899994,117.3899994,2/5/2010,117.6500015,114.0999985,115.8799973,11024800
24,24,116.8300018,116.8300018,2/8/2010,121,116.5599976,119.3799973,9890200
25,25,118.0299988,118.0299988,2/9/2010,119.0899963,117,118.1999969,9223000
26,26,117.3600006,117.3600006,2/10/2010,118.6100006,116,118,6233200
27,27,120.0899963,120.0899963,2/11/2010,120.4199982,116.5,117.2099991,8343500
28,28,119.6600037,119.6600037,2/12/2010,119.9400024,117.5,118.9899979,8073500
