,Unnamed: 0,adj close,close,date,high,low,open,volume
0,0,38.22999954,38.22999954,5/18/2012,45,38,42.04999924,573576400
1,1,34.02999878,34.02999878,5/21/2012,36.65999985,33,36.52999878,168192700
2,2,31,31,5/22/2012,33.59000015,30.94000053,32.61000061,101786600
3,3,32,32,5/23/2012,32.5,31.36000061,31.37000084,73600000
4,4,33.02999878,33.02999878,5/24/2012,33.20999908,31.77000046,32.95000076,50237200
5,5,31.90999985,31.90999985,5/25/2012,32.95000076,31.11000061,32.90000153,37149800
6,6,28.84000015,28.84000015,5/29/2012,31.69000053,28.64999962,31.47999954,78063400
7,7,28.19000053,28.19000053,5/30/2012,29.54999924,27.86000061,28.70000076,57267900
8,8,29.60000038,29.60000038,5/31/2012,29.67000008,26.82999992,28.54999924,111639200
9,9,27.71999931,27.71999931,6/1/2012,29.14999962,27.38999939,28.88999939,41855500
10,10,26.89999962,26.89999962,6/4/2012,27.64999962,26.44000053,27.20000076,35230300
11,11,25.87000084,25.87000084,6/5/2012,27.76000023,25.75,26.70000076,42473400
12,12,26.80999947,26.80999947,6/6/2012,27.17000008,25.52000046,26.06999969,61489200
13,13,26.30999947,26.30999947,6/7/2012,27.35000038,26.14999962,27,26159500
14,14,27.10000038,27.10000038,6/8/2012,27.76000023,26.44000053,26.54999924,38034000
15,15,27.01000023,27.01000023,6/11/2012,28.06999969,26.84000015,27.18000031,28219600
16,16,27.39999962,27.39999962,6/12/2012,27.77000046,26.95999908,27.47999954,15816800
17,17,27.27000046,27.27000046,6/13/2012,28.10000038,27.10000038,27.65999985,17102800
18,18,28.29000092,28.29000092,6/14/2012,28.31999969,27.37999916,27.64999962,16855000
19,19,30.01000023,30.01000023,6/15/2012,30.10000038,28.35000038,28.51000023,43563800
20,20,31.40999985,31.40999985,6/18/2012,32.08000183,29.40999985,29.95999908,42978900
21,21,31.90999985,31.90999985,6/19/2012,32.18000031,30.70000076,31.54000092,30849000
22,22,31.60000038,31.60000038,6/20/2012,31.93000031,31.14999962,31.92000008,15553600
23,23,31.84000015,31.84000015,6/21/2012,32.5,31.51000023,31.67000008,21875300
24,24,33.04999924,33.04999924,6/22/2012,33.45000076,32.06000137,32.40999985,74834000
25,25,32.06000137,32.06000137,6/25/2012,33.02000046,31.54999924,32.86000061,24352900
26,26,33.09999847,33.09999847,6/26/2012,33.43999863,32.5,32.68999863,24858700
27,27,32.22999954,32.22999954,6/27/2012,32.90000153,31.89999962,32.45999908,28568000
28,28,31.36000061,31.36000061,6/28/2012,32.18999863,30.89999962,31.95999908,17713300
29,29,31.10000038,31.10000038,6/29/2012,31.98999977,30.76000023,31.92000008,19526900
30,30,30.77000046,30.77000046,7/2/2012,31.72999954,30.54999924,31.25,14122000
31,31,31.20000076,31.20000076,7/3/2012,31.44000053,30.79999924,30.90999985,8763600
32,32,31.46999931,31.46999931,7/5/2012,31.62999916,31.02000046,31.31999969,10032100
33,33,31.72999954,31.72999954,7/6/2012,31.89999962,31.26000023,31.44000053,10945600
34,34,32.16999817,32.16999817,7/9/2012,32.88000107,31.98999977,32.09999847,17785200
35,35,31.46999931,31.46999931,7/10/2012,32.47999954,31.15999985,32.43000031,14269500
