,Unnamed: 0,adj close,close,date,high,low,open,volume
0,0,7.639999866,7.639999866,1/4/2010,7.961428642,7.565714359,7.931428432,17239600
1,1,7.358571529,7.358571529,1/5/2010,7.657142639,7.258571625,7.652857304,23753100
2,2,7.617142677,7.617142677,1/6/2010,7.672857285,7.197143078,7.361428738,23290400
3,3,7.485714436,7.485714436,1/7/2010,7.757143021,7.462857246,7.731428623,9955400
4,4,7.614285946,7.614285946,1/8/2010,7.742856979,7.465714455,7.498571396,8180900
5,5,7.604285717,7.604285717,1/11/2010,7.704285622,7.528571606,7.659999847,6783700
6,6,7.481428623,7.481428623,1/12/2010,7.582857132,7.451428413,7.528571606,6330100
7,7,7.708571434,7.708571434,1/13/2010,7.754285812,7.558571339,7.612857342,14422100
8,8,7.284285545,7.284285545,1/14/2010,7.575714111,7.269999981,7.518571377,17685500
9,9,7.278571606,7.278571606,1/15/2010,7.407142639,7.232857227,7.245714188,13031200
10,10,7.314285755,7.314285755,1/19/2010,7.382857323,7.242856979,7.25,5302500
11,11,7.320000172,7.320000172,1/20/2010,7.492856979,7.221428394,7.265714169,9685200
12,12,7.312857151,7.312857151,1/21/2010,7.454285622,7.214285851,7.217143059,8614900
13,13,7.269999981,7.269999981,1/22/2010,7.484285831,7.214285851,7.297142982,9395400
14,14,7.018571377,7.018571377,1/25/2010,7.357142925,6.931428432,7.29285717,13791400
15,15,7.135714054,7.135714054,1/26/2010,7.178571224,6.937142849,6.960000038,11343500
16,16,7.281428337,7.281428337,1/27/2010,7.311428547,6.992856979,7.142857075,23347100
17,17,9.005714417,9.005714417,1/28/2010,9.12142849,8.675714493,8.812856674,77352800
18,18,8.892857552,8.892857552,1/29/2010,9.224286079,8.79285717,8.962857246,24604300
19,19,8.718571663,8.718571663,2/1/2010,8.981428146,8.532856941,8.829999924,18914000
20,20,8.83571434,8.83571434,2/2/2010,8.87857151,8.695713997,8.70714283,10242400
21,21,8.850000381,8.850000381,2/3/2010,8.98285675,8.761428833,8.83571434,8761200
22,22,8.619999886,8.619999886,2/4/2010,8.892857552,8.590000153,8.764286041,11026400
