,unnamed:_0,ticker,open,close,adj_close,low,high,volume,date,est_N4,Actual Diff,Pred Diff,Actual Down,Predict Down,Incorrect,Pred Up Got Down,Money lost,%Incorrect,% of times lost money,Money Lost per Share
1742,96211,AAPL,109.1699982,109.9000015,106.9326782,108.8499985,110.0899963,26528000,12/2/2016,106.0229073,0,0,0,0,0,0,0,0.489655172,0.266666667,-140.7114487
1743,96216,AAPL,110,109.1100006,106.1639938,108.25,110.0299988,34324500,12/5/2016,105.9742737,-0.768684387,-0.958404541,1,1,0,0,0,,,
1744,96231,AAPL,109.5,109.9499969,106.9813156,109.1900024,110.3600006,26195500,12/6/2016,105.8623734,0.817321777,-0.301620483,0,1,1,0,0,,,
1745,96235,AAPL,109.2600021,111.0299988,108.0321503,109.1600037,111.1900024,29998700,12/7/2016,106.7964439,1.050834656,-0.184871674,0,1,1,0,0,,,
1746,96251,AAPL,110.8600006,112.1200027,109.0927277,110.5999985,112.4300003,27068300,12/8/2016,108.056469,1.060577393,0.024318695,0,0,0,0,0,,,
1747,96255,AAPL,112.3099976,113.9499969,110.8733215,112.3099976,114.6999969,34402600,12/9/2016,110.0268059,1.780593872,0.934078217,0,0,0,0,0,,,
1748,96270,AAPL,113.2900009,113.3000031,110.2408676,112.4899979,115,26374400,12/12/2016,111.9290276,-0.632453918,1.055706024,1,0,1,1,-0.632453918,,,
1749,96274,AAPL,113.8399963,115.1900024,112.079834,113.75,115.9199982,43733800,12/13/2016,111.6614532,1.83896637,1.420585632,0,0,0,0,0,,,
1750,96288,AAPL,115.0400009,115.1900024,112.079834,114.9800034,116.1999969,34031800,12/14/2016,112.653904,0,0.574069977,0,0,0,0,0,,,
1751,96292,AAPL,115.3799973,115.8199997,112.6928253,115.2300034,116.7300034,46524500,12/15/2016,112.6830902,0.612991333,0.603256226,0,0,0,0,0,,,
1752,96313,AAPL,116.4700012,115.9700012,112.838768,115.6500015,116.5,44351100,12/16/2016,113.6123085,0.145942688,0.919483185,0,0,0,0,0,,,
1753,96317,AAPL,115.8000031,116.6399994,113.4906845,115.75,117.3799973,27779400,12/19/2016,113.1452637,0.651916504,0.306495667,0,0,0,0,0,,,
1754,96652,AAPL,116.7399979,116.9499969,113.7923126,116.6800003,117.5,21425000,12/20/2016,113.8701515,0.301628113,0.37946701,0,0,0,0,0,,,
1755,96656,AAPL,116.8000031,117.0599976,113.8993378,116.7799988,117.4000015,23783200,12/21/2016,114.1912422,0.107025146,0.398929596,0,0,0,0,0,,,
1756,96707,AAPL,116.3499985,116.2900009,113.1501389,115.6399994,116.5100021,26085900,12/22/2016,114.3761101,-0.749198914,0.476772308,1,0,1,1,-0.749198914,,,
1757,96711,AAPL,115.5899963,116.5199966,113.3739166,115.5899963,116.5199966,14181200,12/23/2016,113.3544655,0.223777771,0.20432663,0,0,0,0,0,,,
1758,96728,AAPL,116.5199966,117.2600021,114.0939484,116.4899979,117.8000031,18296900,12/27/2016,113.0528297,0.720031738,-0.321086884,0,1,1,0,0,,,
1759,96732,AAPL,117.5199966,116.7600021,113.6074448,116.1999969,118.0199966,20905900,12/28/2016,113.8312378,-0.486503601,-0.262710571,1,1,0,0,0,,,
1760,96747,AAPL,116.4499969,116.7300034,113.5782471,116.4000015,117.1100006,15039500,12/29/2016,114.0793495,-0.029197693,0.471904755,1,0,1,1,-0.029197693,,,
1761,96751,AAPL,116.6500015,115.8199997,112.6928253,115.4300003,117.1999969,30586300,12/30/2016,113.6950111,-0.885421753,0.116764069,1,0,1,1,-0.885421753,,,
1762,96765,AAPL,115.8000031,116.1500015,113.013916,114.7600021,116.3300018,28781900,1/3/2017,112.4349747,0.321090698,-0.257850647,0,1,1,0,0,,,
1763,96769,AAPL,115.8499985,116.0199966,112.887413,115.75,116.5100021,21118100,1/4/2017,112.5566063,-0.126502991,-0.457309723,1,1,0,0,0,,,
1764,96784,AAPL,115.9199982,116.6100006,113.4615021,115.8099976,116.8600006,22193600,1/5/2017,112.6052475,0.57408905,-0.282165527,0,1,1,0,0,,,
1765,96788,AAPL,116.7799988,117.9100037,114.7264023,116.4700012,118.1600037,31751900,1/6/2017,113.5587959,1.264900208,0.097293854,0,0,0,0,0,,,
