,date,est,adj_close,Actual Price Change,Direction,Predicted Price Change,
0,12/2/2016,106.734809,106.9326782,0,0,0,0
1,12/5/2016,106.9459906,106.1639938,-0.768684387,0,0.013312381,1
2,12/6/2016,106.2901743,106.9813156,0.817321777,1,0.126180455,1
3,12/7/2016,106.939387,108.0321503,1.050834656,1,-0.041928563,0
4,12/8/2016,107.9014725,109.0927277,1.060577393,1,-0.130677725,0
5,12/9/2016,108.9416239,110.8733215,1.780593872,1,-0.151103792,0
6,12/12/2016,110.6750645,110.2408676,-0.632453918,0,-0.198257025,0
7,12/13/2016,110.0372614,112.079834,1.83896637,1,-0.203606224,0
8,12/14/2016,111.9132885,112.079834,0,0,-0.166545514,0
9,12/15/2016,111.8494828,112.6928253,0.612991333,1,-0.230351234,0
10,12/16/2016,112.6364797,112.838768,0.145942688,1,-0.056345602,0
11,12/19/2016,112.7631108,113.4906845,0.651916504,1,-0.075657251,0
12,12/20/2016,113.4289562,113.7923126,0.301628113,1,-0.061728338,0
13,12/21/2016,113.7111263,113.8993378,0.107025146,1,-0.081186352,0
14,12/22/2016,113.8620921,113.1501389,-0.749198914,0,-0.037245628,0
15,12/23/2016,113.3038186,113.3739166,0.223777771,1,0.153679706,1
16,12/27/2016,113.3884631,114.0939484,0.720031738,1,0.014546433,1
17,12/28/2016,114.0239523,113.6074448,-0.486503601,0,-0.069996068,0
18,12/29/2016,113.5661064,113.5782471,-0.029197693,0,-0.041338329,0
19,12/30/2016,113.6017494,112.6928253,-0.885421753,0,0.023502301,1
20,1/3/2017,112.8768884,113.013916,0.321090698,1,0.184063104,1
21,1/4/2017,113.0276229,112.887413,-0.126502991,0,0.013706906,1
22,1/5/2017,112.8519902,113.4615021,0.57408905,1,-0.035422856,0
23,1/6/2017,113.4087807,114.7264023,1.264900208,1,-0.052721333,0
24,1/9/2017,114.5958085,115.7772369,1.050834656,1,-0.130593796,0
25,1/10/2017,115.6060948,115.8939972,0.116760254,1,-0.171142163,0
