,date,est,adj_close,Price Change,
0,12/2/2016,744.9469374,740.3400269,0,0
1,12/5/2016,740.9752039,759.3599854,19.0199585,1
2,12/6/2016,759.2516185,764.7199707,5.359985352,1
3,12/7/2016,762.0626983,770.4199829,5.700012207,1
4,12/8/2016,769.8615911,767.3300171,-3.08996582,0
5,12/9/2016,766.8807387,768.6599731,1.329956055,1
6,12/12/2016,768.7322682,760.1199951,-8.539978027,0
7,12/13/2016,762.0208177,774.3400269,14.22003174,1
8,12/14/2016,774.4164962,768.8200073,-5.520019531,0
9,12/15/2016,767.1713183,761,-7.820007324,0
10,12/16/2016,762.501022,757.7700195,-3.229980469,0
11,12/19/2016,758.4077653,766,8.229980469,1
12,12/20/2016,765.9835524,771.2199707,5.219970703,1
13,12/21/2016,770.2212727,770.5999756,-0.619995117,0
14,12/22/2016,769.8335483,766.3400269,-4.25994873,0
15,12/23/2016,767.2467075,760.5900269,-5.75,0
16,12/27/2016,761.6890707,771.4000244,10.80999756,1
17,12/28/2016,771.4260883,772.1300049,0.729980469,1
18,12/29/2016,770.5295424,765.1500244,-6.979980469,0
19,12/30/2016,766.6989348,749.8699951,-15.2800293,0
20,1/3/2017,752.918875,753.6699829,3.799987793,1
21,1/4/2017,754.0155394,757.1799927,3.510009766,1
22,1/5/2017,756.766055,780.4500122,23.27001953,1
23,1/6/2017,780.0836517,795.9899902,15.53997803,1
24,1/9/2017,793.2037836,796.9199829,0.929992676,1
25,1/10/2017,794.6167649,795.9000244,-1.019958496,0
26,1/11/2017,796.0094473,799.0200195,3.119995117,1
27,1/12/2017,799.0095286,813.6400146,14.61999512,1
28,1/13/2017,813.3562627,817.1400146,3.5,1
29,1/17/2017,815.067208,809.7199707,-7.420043945,0
30,1/18/2017,811.244038,807.4799805,-2.239990234,0
31,1/19/2017,807.9656551,809.039978,1.559997559,1
32,1/20/2017,809.1024613,808.3300171,-0.709960938,0
33,1/23/2017,808.1716956,817.8800049,9.549987793,1
34,1/24/2017,817.8083962,822.4400024,4.559997559,1
35,1/25/2017,821.2044309,836.5200195,14.08001709,1
36,1/26/2017,836.134354,839.1500244,2.630004883,1
37,1/27/2017,837.1206031,835.7700195,-3.380004883,0
38,1/30/2017,836.2562685,830.3800049,-5.390014648,0
39,1/31/2017,831.4256456,823.4799805,-6.900024414,0
