,date,est,adj_close,Actual Price Change,Direction,Predicted Price Change,
0,12/2/2016,748.3081107,750.5,0,0,0,0
1,12/5/2016,751.316014,762.5200195,12.02001953,1,0.816014,1
2,12/6/2016,762.4981572,759.1099854,-3.41003418,0,-0.0218623,0
3,12/7/2016,757.5901863,771.1900024,12.08001709,1,-1.5197991,0
4,12/8/2016,771.443885,776.4199829,5.229980469,1,0.2538826,1
5,12/9/2016,775.0237971,789.289978,12.86999512,1,-1.3961858,0
6,12/12/2016,789.0538313,789.2700195,-0.019958496,0,-0.2361467,0
7,12/13/2016,787.5542714,796.0999756,6.829956055,1,-1.7157481,0
8,12/14/2016,796.1744459,797.0700073,0.970031738,1,0.0744703,1
9,12/15/2016,796.186928,797.8499756,0.779968262,1,-0.8830793,0
10,12/16/2016,797.7558824,790.7999878,-7.049987793,0,-0.0940932,0
11,12/19/2016,791.6400095,794.2000122,3.400024414,1,0.8400217,1
12,12/20/2016,794.9508298,796.4199829,2.219970703,1,0.7508176,1
13,12/21/2016,796.065316,794.5599976,-1.859985352,0,-0.3546669,0
14,12/22/2016,794.5157594,791.2600098,-3.299987793,0,-0.0442382,0
15,12/23/2016,791.4521327,789.9099731,-1.350036621,0,0.1921229,1
16,12/27/2016,789.9889811,791.5499878,1.640014648,1,0.079008,1
17,12/28/2016,791.6794719,785.0499878,-6.5,0,0.1294841,1
18,12/29/2016,785.8851234,782.789978,-2.260009766,0,0.8351356,1
19,12/30/2016,782.9539566,771.8200073,-10.9699707,0,0.1639786,1
20,1/3/2017,772.7779615,786.1400146,14.32000732,1,0.9579542,1
21,1/4/2017,787.139823,786.9000244,0.760009766,1,0.9998084,1
22,1/5/2017,785.0074228,794.0200195,7.119995117,1,-1.8926016,0
23,1/6/2017,794.0579453,806.1500244,12.13000488,1,0.0379258,1
24,1/9/2017,805.6960999,806.6500244,0.5,1,-0.4539245,0
25,1/10/2017,805.0432867,804.789978,-1.860046387,0,-1.6067377,0
26,1/11/2017,805.0301065,807.9099731,3.119995117,1,0.2401285,1
27,1/12/2017,808.0523658,806.3599854,-1.549987793,0,0.1423927,1
28,1/13/2017,806.0485069,807.8800049,1.520019531,1,-0.3114785,0
29,1/17/2017,808.0485627,804.6099854,-3.270019531,0,0.1685578,1
30,1/18/2017,805.0216542,806.0700073,1.460021973,1,0.4116688,1
31,1/19/2017,806.407686,802.1749878,-3.895019531,0,0.3376787,1
32,1/20/2017,802.6811526,805.0200195,2.845031738,1,0.5061648,1
33,1/23/2017,805.4738394,819.3099976,14.28997803,1,0.4538199,1
34,1/24/2017,819.3001872,823.8699951,4.559997559,1,-0.0098104,0
35,1/25/2017,822.1356627,835.6699829,11.79998779,1,-1.7343324,0
36,1/26/2017,835.4761209,832.1500244,-3.519958496,0,-0.193862,0
37,1/27/2017,830.6716556,823.3099976,-8.840026855,0,-1.4783688,0
38,1/30/2017,823.9279856,802.3200073,-20.98999023,0,0.617988,1
39,1/31/2017,803.7492959,796.789978,-5.530029297,0,1.4292886,1
40,2/1/2017,797.3841404,795.6950073,-1.094970703,0,0.5941624,1
41,2/2/2017,795.870989,798.5300293,2.835021973,1,0.1759817,1
42,2/3/2017,798.6045357,801.4899902,2.959960938,1,0.0745064,1
43,2/6/2017,801.2448837,801.3400269,-0.149963379,0,-0.2451065,0
44,2/7/2017,800.9439018,806.9699707,5.629943848,1,-0.3961251,0
45,2/8/2017,807.0370081,808.3800049,1.41003418,1,0.0670374,1
46,2/9/2017,807.6781009,809.5599976,1.179992676,1,-0.701904,0
47,2/10/2017,809.4253682,813.6699829,4.109985352,1,-0.1346294,0
48,2/13/2017,813.6390372,819.2399902,5.570007324,1,-0.0309457,0
49,2/14/2017,818.9328573,820.4500122,1.210021973,1,-0.3071329,0
50,2/15/2017,819.7471621,818.9799805,-1.470031738,0,-0.7028501,0
51,2/16/2017,819.0799248,824.1599731,5.179992676,1,0.0999443,1
52,2/17/2017,824.2691608,828.0700073,3.91003418,1,0.1091877,1
53,2/21/2017,827.5554841,831.6599731,3.58996582,1,-0.5145232,0
54,2/22/2017,831.3009588,830.7600098,-0.899963379,0,-0.3590143,0
55,2/23/2017,830.2979602,831.3300171,0.570007324,1,-0.4620496,0
56,2/24/2017,831.4336993,828.6400146,-2.690002441,0,0.1036822,1
57,2/27/2017,828.9803101,829.2800293,0.640014648,1,0.3402955,1
58,2/28/2017,829.490867,823.210022,-6.070007324,0,0.2108377,1
59,3/1/2017,823.9305471,835.2399902,12.02996826,1,0.7205251,1
60,3/2/2017,835.6680252,830.6300049,-4.609985352,0,0.428035,1
61,3/3/2017,829.2265783,829.0800171,-1.549987793,0,-1.4034266,0
62,3/6/2017,829.1978247,827.7800293,-1.299987793,0,0.1178076,1
63,3/7/2017,827.8303688,831.9099731,4.129943848,1,0.0503395,1
64,3/8/2017,832.0026312,835.3699951,3.460021973,1,0.0926581,1
65,3/9/2017,834.9758478,838.6799927,3.309997559,1,-0.3941473,0
66,3/10/2017,838.3681075,843.25,4.570007324,1,-0.3118852,0
67,3/13/2017,843.0055322,845.539978,2.289978027,1,-0.2444678,0
68,3/14/2017,845.0278977,845.6199951,0.08001709,1,-0.5120803,0
69,3/15/2017,845.3163297,847.2000122,1.58001709,1,-0.3036654,0
70,3/16/2017,847.2132571,848.7800293,1.58001709,1,0.0132449,1
71,3/17/2017,848.6405286,852.1199951,3.33996582,1,-0.1395007,0
72,3/20/2017,852.0362888,848.4000244,-3.719970703,0,-0.0837063,0
73,3/21/2017,848.5871769,830.460022,-17.94000244,0,0.1871525,1
74,3/22/2017,832.0242407,829.5900269,-0.869995117,0,1.5642187,1
75,3/23/2017,830.3738934,817.5800171,-12.01000977,0,0.7838665,1
76,3/24/2017,818.794252,814.4299927,-3.150024414,0,1.2142349,1
77,3/27/2017,814.7706115,819.5100098,5.08001709,1,0.3406188,1
78,3/28/2017,819.7571887,820.9199829,1.409973145,1,0.2471789,1
79,3/29/2017,820.2931422,831.4099731,10.48999023,1,-0.6268407,0
80,3/30/2017,831.4483049,831.5,0.090026855,1,0.0383318,1
81,3/31/2017,830.1033305,829.5599976,-1.940002441,0,-1.3966695,0
82,4/3/2017,829.7796896,838.5499878,8.989990234,1,0.219692,1
83,4/4/2017,838.716609,834.5700073,-3.979980469,0,0.1666212,1
84,4/5/2017,833.5936972,831.4099731,-3.16003418,0,-0.9763101,0
85,4/6/2017,831.5312236,827.8800049,-3.529968262,0,0.1212505,1
86,4/7/2017,828.0344408,824.6699829,-3.210021973,0,0.1544359,1
87,4/10/2017,824.7972387,824.7299805,0.059997559,1,0.1272558,1
88,4/11/2017,824.8927317,823.3499756,-1.380004883,0,0.1627512,1
89,4/12/2017,823.5058585,824.3200073,0.970031738,1,0.1558829,1
90,4/13/2017,824.4807213,823.5599976,-0.760009766,0,0.160714,1
91,4/17/2017,823.5264343,837.1699829,13.60998535,1,-0.0335633,0
92,4/18/2017,837.3477442,836.8200073,-0.349975586,0,0.1777613,1
93,4/19/2017,835.0012444,838.210022,1.390014648,1,-1.8187629,0
94,4/20/2017,838.2375739,841.6500244,3.440002441,1,0.0275519,1
95,4/21/2017,841.5876731,843.1900024,1.539978027,1,-0.0623513,0
96,4/24/2017,842.7950315,862.7600098,19.57000732,1,-0.3949709,0
97,4/25/2017,862.8952439,872.2999878,9.539978027,1,0.1352341,1
98,4/26/2017,870.0933436,871.7299805,-0.570007324,0,-2.2066442,0
99,4/27/2017,870.4529502,874.25,2.520019531,1,-1.2770303,0
100,4/28/2017,874.2976169,905.960022,31.71002197,1,0.0476169,1
101,5/1/2017,906.1777961,912.5700073,6.609985352,1,0.2177741,1
102,5/2/2017,908.5563948,916.4400024,3.869995117,1,-4.0136125,0
103,5/3/2017,915.7280027,927.039978,10.59997559,1,-0.7119997,0
104,5/4/2017,926.8871236,931.6599731,4.619995117,1,-0.1528544,0
105,5/5/2017,930.4364379,927.1300049,-4.529968262,0,-1.2235352,0
106,5/8/2017,927.2204067,934.2999878,7.16998291,1,0.0904018,1
107,5/9/2017,934.6598491,932.1699829,-2.130004883,0,0.3598613,1
108,5/10/2017,931.2709649,928.7800293,-3.389953613,0,-0.899018,0
109,5/11/2017,928.9648031,930.5999756,1.819946289,1,0.1847738,1
110,5/12/2017,930.9749025,932.2199707,1.619995117,1,0.3749269,1
111,5/15/2017,932.0506021,937.0800171,4.860046387,1,-0.1693686,0
112,5/16/2017,937.0240004,943,5.91998291,1,-0.0560167,0
113,5/17/2017,942.6129209,919.6199951,-23.38000488,0,-0.3870791,0
114,5/18/2017,922.6247685,930.2399902,10.61999512,1,3.0047734,1
115,5/19/2017,932.6715037,934.0100098,3.770019531,1,2.4315135,1
