,date,est,adj_close,Actual Price Change,Direction,,
0,5/26/2017,151.6292458,152.1300049,0,0,0,0
1,5/30/2017,151.9995511,152.3800049,0.25,1,-0.1304538,0
2,5/31/2017,152.3377824,151.4600067,-0.919998169,0,-0.0422225,0
3,6/1/2017,151.6739612,151.5299988,0.069992065,1,0.2139545,1
4,6/2/2017,151.5730121,153.6100006,2.080001831,1,0.0430133,1
5,6/5/2017,153.2301571,153.6300049,0.020004272,1,-0.3798435,0
6,6/6/2017,153.4966278,152.8099976,-0.820007324,0,-0.1333771,0
7,6/7/2017,153.0193645,153.1199951,0.309997559,1,0.2093669,1
8,6/8/2017,153.1080544,154.7100067,1.590011597,1,-0.0119407,0
9,6/9/2017,154.4284104,149.6000061,-5.11000061,0,-0.2815963,0
10,6/12/2017,150.7623975,148.4400024,-1.160003662,0,1.1623914,1
11,6/13/2017,149.0186471,150.6799927,2.239990234,1,0.5786447,1
12,6/14/2017,150.2625177,150.25,-0.429992676,0,-0.417475,0
13,6/15/2017,150.123,149.8000031,-0.449996948,0,-0.127,0
14,6/16/2017,149.9354492,150.6399994,0.839996338,1,0.1354461,1
15,6/19/2017,150.4840941,152.8699951,2.229995728,1,-0.1559053,0
16,6/20/2017,152.4860157,152.25,-0.619995117,0,-0.3839794,0
17,6/21/2017,152.1317064,153.9100037,1.660003662,1,-0.1182936,0
18,6/22/2017,153.594233,153.3999939,-0.510009766,0,-0.3157707,0
19,6/23/2017,153.3145024,155.0700073,1.670013428,1,-0.0854915,0
20,6/26/2017,154.75177,153.5899963,-1.480010986,0,-0.3182373,0
21,6/27/2017,153.6721357,150.5800018,-3.009994507,0,0.0821394,1
22,6/28/2017,151.4238412,153.2400055,2.660003662,1,0.8438394,1
23,6/29/2017,152.865608,151.0399933,-2.200012207,0,-0.3743975,0
24,6/30/2017,151.1271368,150.9799957,-0.059997559,0,0.0871435,1
25,7/3/2017,151.1311743,148.4299927,-2.550003052,0,0.1511786,1
26,7/5/2017,149.088884,150.3399963,1.910003662,1,0.6588913,1
27,7/6/2017,150.1019271,148.8200073,-1.519989014,0,-0.2380692,0
28,7/7/2017,148.8667753,151.4400024,2.619995117,1,0.046768,1
29,7/10/2017,150.9594389,153.5,2.059997559,1,-0.4805635,0
30,7/11/2017,153.1329032,155.2700043,1.770004272,1,-0.3670968,0
31,7/12/2017,154.9597277,158.8999939,3.629989624,1,-0.3102766,0
32,7/13/2017,158.2820356,159.2599945,0.36000061,1,-0.6179583,0
33,7/14/2017,159.011247,159.9700012,0.710006714,1,-0.2487475,0
34,7/17/2017,159.8493114,159.7299957,-0.240005493,0,-0.1206898,0
35,7/18/2017,159.6947555,162.8600006,3.130004883,1,-0.0352402,0
36,7/19/2017,162.2768519,164.1399994,1.279998779,1,-0.5831487,0
37,7/20/2017,163.8482237,164.5299988,0.38999939,1,-0.2917757,0
38,7/21/2017,164.423434,164.4299927,-0.100006104,0,-0.1065648,0
39,7/24/2017,164.4089048,166,1.570007324,1,-0.0210879,0
40,7/25/2017,165.7081317,165.2799988,-0.720001221,0,-0.2918683,0
41,7/26/2017,165.2184417,165.6100006,0.330001831,1,-0.0615571,0
42,7/27/2017,165.5877886,170.4400024,4.830001831,1,-0.022212,0
43,7/28/2017,169.5638394,172.4499969,2.009994507,1,-0.876163,0
44,7/31/2017,171.9961496,169.25,-3.199996948,0,-0.4538473,0
45,8/1/2017,169.7924665,169.8600006,0.61000061,1,0.5424665,1
46,8/2/2017,169.9341273,169.3000031,-0.559997559,0,0.0741267,1
47,8/3/2017,169.3356081,168.5899963,-0.710006714,0,0.035605,1
48,8/4/2017,168.7982214,169.6199951,1.029998779,1,0.2082251,1
49,8/7/2017,169.4380168,171.9799957,2.36000061,1,-0.1819783,0
50,8/8/2017,171.5763642,171.2299957,-0.75,0,-0.4036315,0
51,8/9/2017,171.1098952,171.1799927,-0.050003052,0,-0.1201005,0
52,8/10/2017,171.2379546,167.3999939,-3.779998779,0,0.0579619,1
53,8/11/2017,168.3743079,168.0800018,0.680007935,1,0.974314,1
54,8/14/2017,168.1758124,170.75,2.669998169,1,0.0958106,1
55,8/15/2017,170.2820012,171,0.25,1,-0.4679988,0
56,8/16/2017,170.8178511,170,-1,0,-0.1821489,0
57,8/17/2017,170.2351662,166.9100037,-3.089996338,0,0.2351662,1
58,8/18/2017,167.7542427,167.4100037,0.5,1,0.844239,1
59,8/21/2017,167.4997242,167.7799988,0.369995117,1,0.0897205,1
60,8/22/2017,167.7131758,169.6399994,1.86000061,1,-0.066823,0
61,8/23/2017,169.3108214,168.7100067,-0.929992676,0,-0.329178,0
62,8/24/2017,168.6463335,167.7400055,-0.970001221,0,-0.0636732,0
63,8/25/2017,168.0321171,166.3200073,-1.419998169,0,0.2921116,1
64,8/28/2017,166.7297732,167.2400055,0.919998169,1,0.4097659,1
65,8/29/2017,167.1393823,168.0500031,0.809997559,1,-0.1006232,0
66,8/30/2017,167.9085643,169.9199982,1.869995117,1,-0.1414388,0
67,8/31/2017,169.6000654,171.9700012,2.050003052,1,-0.3199328,0
68,9/1/2017,171.6206165,172.0200043,0.050003052,1,-0.3493847,0
69,9/5/2017,171.8872117,170.7200012,-1.300003052,0,-0.1327926,0
70,9/6/2017,171.0506722,172.0899963,1.369995117,1,0.330671,1
71,9/7/2017,171.8762145,173.2100067,1.120010376,1,-0.2137818,0
72,9/8/2017,173.0119436,170.9499969,-2.260009766,0,-0.1980631,0
73,9/11/2017,171.3957026,173.5099945,2.559997559,1,0.4457057,1
74,9/12/2017,173.0962998,172.9600067,-0.549987793,0,-0.4136947,0
75,9/13/2017,172.817096,173.0500031,0.089996338,1,-0.1429107,0
76,9/14/2017,173.0657677,170.9600067,-2.089996338,0,0.0157646,1
77,9/15/2017,171.4909514,171.6399994,0.679992676,1,0.5309447,1
78,9/18/2017,171.631697,170.0099945,-1.630004883,0,-0.0083024,0
79,9/19/2017,170.354544,172.5200043,2.510009766,1,0.3445495,1
80,9/20/2017,172.0698392,172.1699982,-0.350006104,0,-0.4501651,0
81,9/21/2017,172.0230104,171.1100006,-1.059997559,0,-0.1469878,0
82,9/22/2017,171.3999097,170.5399933,-0.570007324,0,0.2899091,1
83,9/25/2017,170.7383596,162.8699951,-7.669998169,0,0.1983663,1
84,9/26/2017,164.8744376,164.2100067,1.340011597,1,2.0044425,1
85,9/27/2017,164.4125222,167.6799927,3.469985962,1,0.2025155,1
86,9/28/2017,167.0831966,168.7299957,1.050003052,1,-0.5967961,0
87,9/29/2017,168.4417429,170.8699951,2.13999939,1,-0.2882528,0
88,10/2/2017,170.5057769,169.4700012,-1.399993896,0,-0.3642182,0
89,10/3/2017,169.4517855,169.9600067,0.490005493,1,-0.0182157,0
90,10/4/2017,169.9475166,168.4199982,-1.540008545,0,-0.0124901,0
91,10/5/2017,168.7688365,171.2400055,2.820007324,1,0.3488383,1
92,10/6/2017,170.7179506,172.2299957,0.989990234,1,-0.5220549,0
93,10/9/2017,171.9832698,172.5,0.270004272,1,-0.2467259,0
94,10/10/2017,172.4202817,171.5899963,-0.910003662,0,-0.0797183,0
95,10/11/2017,171.798745,172.7400055,1.150009155,1,0.2087487,1
96,10/12/2017,172.5455846,172.5500031,-0.190002441,0,-0.1944209,0
97,10/13/2017,172.483691,173.7400055,1.190002441,1,-0.0663121,0
98,10/16/2017,173.5155744,174.5200043,0.779998779,1,-0.2244311,0
99,10/17/2017,174.3744993,176.1100006,1.589996338,1,-0.145505,0
100,10/18/2017,175.8393886,176.0299988,-0.080001831,0,-0.270612,0
101,10/19/2017,175.9318762,174.5599976,-1.470001221,0,-0.0981226,0
102,10/20/2017,174.9425122,174.9799957,0.419998169,1,0.3825146,1
103,10/23/2017,174.9858506,171.2700043,-3.709991455,0,0.0058549,1
104,10/24/2017,172.1926479,171.8000031,0.529998779,1,0.9226436,1
105,10/25/2017,171.9221325,170.6000061,-1.199996948,0,0.1221294,1
106,10/26/2017,170.8485911,170.6300049,0.029998779,1,0.248585,1
107,10/27/2017,170.6990282,177.8800049,7.25,1,0.0690233,1
108,10/30/2017,176.5485912,179.8699951,1.989990234,1,-1.3314137,0
109,10/31/2017,179.2851419,180.0599976,0.190002441,1,-0.5848532,0
110,11/1/2017,179.9240381,182.6600037,2.600006104,1,-0.1359595,0
111,11/2/2017,182.188796,178.9199982,-3.740005493,0,-0.4712077,0
112,11/3/2017,179.4967653,178.9199982,0,0,0.5767671,1
113,11/6/2017,179.1550635,180.1699982,1.25,1,0.2350653,1
114,11/7/2017,179.9402659,180.25,0.080001831,1,-0.2297323,0
115,11/8/2017,180.1666682,179.5599976,-0.690002441,0,-0.0833318,0
116,11/9/2017,179.7314383,179.3000031,-0.259994507,0,0.1714407,1
117,11/10/2017,179.4023093,178.4600067,-0.839996338,0,0.1023062,1
118,11/13/2017,178.6889954,178.7700043,0.309997559,1,0.2289887,1
119,11/14/2017,178.7592941,178.0700073,-0.699996948,0,-0.0107102,0
120,11/15/2017,178.2148681,177.9499969,-0.120010376,0,0.1448608,1
121,11/16/2017,178.0204052,179.5899963,1.63999939,1,0.0704083,1
122,11/17/2017,179.2846276,179,-0.589996338,0,-0.3053687,0
123,11/20/2017,178.9210385,178.7400055,-0.259994507,0,-0.0789615,0
124,11/21/2017,178.8365057,181.8600006,3.119995117,1,0.0965002,1
125,11/22/2017,181.2780795,180.8699951,-0.990005493,0,-0.5819211,0
126,11/24/2017,180.7111286,182.7799988,1.910003662,1,-0.1588665,0
