,date,est,adj_close,,
0,12/2/2016,117.257953,120.8099976,0,0
1,12/5/2016,120.8668965,119.1600037,-1.649993896,0
2,12/6/2016,118.7778446,124.5699997,5.409996033,1
3,12/7/2016,124.8134919,125.3899994,0.819999695,1
4,12/8/2016,124.4756243,123.2399979,-2.150001526,0
5,12/9/2016,123.6678842,122.8799973,-0.36000061,0
6,12/12/2016,122.981179,122.8300018,-0.049995422,0
7,12/13/2016,122.8466657,123.7799988,0.949996948,1
8,12/14/2016,123.8053117,123.4400024,-0.339996338,0
9,12/15/2016,123.3164195,125,1.559997559,1
10,12/16/2016,125.0610743,124.2200012,-0.779998779,0
11,12/19/2016,124.0710074,125.4499969,1.229995728,1
12,12/20/2016,125.5383051,125.1200027,-0.329994202,0
13,12/21/2016,124.9404469,126.5,1.379997253,1
14,12/22/2016,126.5560112,125.5800018,-0.919998169,0
15,12/23/2016,125.5209693,125.5899963,0.009994507,1
16,12/27/2016,125.6321865,128.3500061,2.760009766,1
17,12/28/2016,128.40956,125.8899994,-2.460006714,0
18,12/29/2016,125.9979281,125.3300018,-0.559997559,0
19,12/30/2016,125.4514322,123.8000031,-1.529998779,0
20,1/3/2017,124.0402547,127.4899979,3.689994812,1
21,1/4/2017,127.6845097,129.4100037,1.920005798,1
22,1/5/2017,128.8372625,131.8099976,2.399993896,1
23,1/6/2017,131.5827072,131.0700073,-0.739990234,0
24,1/9/2017,130.7353174,130.9499969,-0.120010376,0
25,1/10/2017,130.9847047,129.8899994,-1.059997559,0
26,1/11/2017,130.0767899,130.5,0.61000061,1
27,1/12/2017,130.5929557,129.1799927,-1.320007324,0
28,1/13/2017,129.4359455,133.6999969,4.520004272,1
29,1/17/2017,133.8994984,132.8899994,-0.809997559,0
30,1/18/2017,132.1790933,133.2599945,0.369995117,1
31,1/19/2017,133.3222487,138.4100037,5.150009155,1
32,1/20/2017,138.4859142,138.6000061,0.190002441,1
33,1/23/2017,137.7290248,137.3899994,-1.210006714,0
34,1/24/2017,137.6275623,140.1100006,2.720001221,1
35,1/25/2017,140.2596407,139.5200043,-0.589996338,0
36,1/26/2017,139.1037786,138.9600067,-0.559997559,0
37,1/27/2017,139.0338778,142.4499969,3.489990234,1
38,1/30/2017,142.5725563,141.2200012,-1.229995728,0
39,1/31/2017,140.7621524,140.7100067,-0.509994507,0
40,2/1/2017,140.7858312,140.7799988,0.069992065,1
41,2/2/2017,140.8057091,139.1999969,-1.580001831,0
42,2/3/2017,139.4984812,140.25,1.050003052,1
43,2/6/2017,140.3994863,140.9700012,0.720001221,1
44,2/7/2017,140.8160073,144,3.029998779,1
45,2/8/2017,143.9847091,144.7400055,0.740005493,1
46,2/9/2017,144.2342087,144.1399994,-0.600006104,0
47,2/10/2017,144.1467676,144.8200073,0.680007935,1
48,2/13/2017,144.8860795,143.1999969,-1.620010376,0
49,2/14/2017,143.5192226,140.8200073,-2.379989624,0
50,2/15/2017,141.154982,142.2700043,1.449996948,1
51,2/16/2017,142.4853222,142.0099945,-0.260009766,0
52,2/17/2017,141.7819562,142.2200012,0.210006714,1
53,2/21/2017,142.2467136,142.6000061,0.380004883,1
54,2/22/2017,142.5800975,143.8600006,1.259994507,1
55,2/23/2017,143.8426454,142.7799988,-1.080001831,0
56,2/24/2017,142.8132209,143.25,0.470001221,1
57,2/27/2017,143.3307649,143.4100037,0.160003662,1
